name,alt_name,ra,dec,vmag_code,vmag,multiple,class,bv_color,bv_uncert,ub_color,ub_uncert,hd,hr,par_code,parallax,ri_code,sao
HR 690,,35.9658,55.3644,,6.28,,STAR F7I,0.86,,0.64,,14662,690,,,,23283
HR 5887,,236.9083,55.3767,,5.86,,STAR A3,0.25,,0.16,,141675,5887,D,0.0130,,29668
HR 7781,,304.6033,55.3972,,5.76,,STAR A2V,0.11,,0.03,,193592,7781,,0.0030,,32455
HR 5442,,218.1288,55.3978,,5.76,,STAR,1.50,,,,128000,5442,,,,29191
HR 8226,,322.2196,55.4186,,6.12,,STAR B8III,0.14,,-0.28,,204754,8226,,,,33458
HR 1046,,52.5008,55.4519,,5.09,,STAR A1V,0.05,,0.04,,21447,1046,,0.0250,,24064
HR 7509,,295.5171,55.4633,,6.48,,STAR M5III,1.61,,,,186532,7509,,,,31906
HR 5878,,236.6450,55.4747,,5.92,,STAR,1.39,,,,141472,5878,,,,29655
HR 716,,37.3542,55.5364,,6.51,,STAR A2,0.09,,0.00,,15253,716,,,,23369
HR 7049,46    Dra,280.6579,55.5394,,5.04,W,STAR B9,-0.09,,-0.30,,173524,7049,,0.0110,,31119
HR 540,,28.4521,55.5981,,6.45,,STAR A5,0.18,,0.11,,11408,540,,,,22716
HR 1515,,72.0292,55.6025,R,6.26,,STAR F0,,,,,30144,1515,,,,24834
HR 4521,,176.7317,55.6283,,5.27,,STAR K2III,1.27,,1.48,,102328,4521,,,,28142
HR 7218,49    Dra,285.1808,55.6583,,5.48,,STAR G5II,0.86,,,,177249,7218,,,,31323
HR 6226,,250.7433,55.6903,,6.16,,STAR A2V,0.07,,0.11,,151199,6226,,,,30062
HR 2486,,102.0512,55.7044,H,6.28,,STAR,0.47,,,,48766,2486,,0.0320,,25962
HR 2485,,102.0537,55.7044,H,6.33,,STAR,,,,,48767,2485,,0.0320,,25963
HR 9059,,359.2854,55.7058,,5.55,,STAR F1V,0.49,,0.03,,224355,9059,,,,35917
HR 2029,30Xi  Aur,88.7117,55.7069,,4.99,,STAR A2V,0.05,,0.12,,39283,2029,,0.0120,,25450
HR 4745,73    UMa,186.8963,55.7128,,5.70,,STAR M2III,1.55,,,,108502,4745,,,,28394
HR 7428,,292.8067,55.7319,,6.37,,STAR K2II,1.16,,0.91,,184398,7428,,,,31741
HR 3747,,142.4483,55.7456,R,6.45,,STAR F3V,,,,,81790,3747,,,,27271
HR 9071,8Sig Cas,359.7521,55.7550,,4.88,,STAR B1V,-0.07,,-0.82,,224572,9071,D,0.0060,,35947
HR 2894,,114.1958,55.7553,,5.92,,STAR K2III,1.12,,,,60294,2894,,,,26423
HR 8357,,328.0042,55.7969,,5.71,,STAR B6IV,-0.13,,-0.46,,208095,8357,D,0.0050,,33819
HR 8150,,319.3096,55.7981,,5.98,,STAR K3III,1.45,,1.62,,202987,8150,,,,33287
HR 9000,,356.2013,55.7997,R,6.51,,STAR,,,,,222932,9000,,0.0080,,35728
HR 5922,,238.0692,55.8267,,5.81,,STAR,0.96,,,,142531,5922,,,,29698
HR 6038,,242.3583,55.8289,R,6.49,,STAR K0,,,,,145694,6038,,,,29825
HR 685,9    Per,35.5892,55.8456,,5.17,,STAR A2I,0.37,,-0.11,,14489,685,,,,23256
HR 4407,,171.4879,55.8506,,5.75,,STAR K0III,,,,,99283,4407,,,,28017
HR 5177,,206.3050,55.8794,,6.50,,STAR F7IV,0.47,,-0.06,,119992,5177,,0.0240,,28878
HR 834,15Eta Per,42.6742,55.8956,,3.76,,STAR K3I,1.68,,1.89,,17506,834,,0.0060,,23655
HR 8688,,342.4425,55.9028,,5.43,,STAR K1III,1.17,,1.12,,216174,8688,,,,34858
HR 1147,,56.8842,55.9225,,6.10,,STAR B9V,-0.03,,-0.15,,23383,1147,,,,24215
HR 4905,77Eps UMa,193.5071,55.9597,,1.77,,STAR A0,-0.02,,0.02,,112185,4905,,0.0090,,28553
HR 6699,,268.8488,55.9714,,6.10,,STAR F0IV,0.32,,0.08,,163929,6699,,,,30645
HR 4112,36    UMa,157.6567,55.9806,,4.84,,STAR F8V,0.52,,-0.01,,90839,4112,,0.0770,,27670
HR 7916,,309.7508,56.0050,R,6.48,,STAR F2V,,,,,197101,7916,,,,32763
HR 6199,,249.5017,56.0156,,5.29,,STAR K1III,1.08,,0.90,,150449,6199,,0.0150,,30026
HR 7843,,307.3629,56.0681,,5.91,W,STAR B9V,-0.04,,-0.24,,195554,7843,,,,32627
HR 920,,46.4162,56.0686,,6.11,,STAR G9III,1.02,,,,18991,920,,,,23793
HR 8607,,338.9658,56.0700,,6.38,,STAR A3V,0.12,,0.09,,214279,8607,,,,34605
HR 1969,26    Cam,86.6267,56.1156,,5.94,,STAR A4V,0.17,,0.12,,38091,1969,,,,25362
HR 2291,,96.6075,56.2850,,5.64,,STAR A3V,0.24,,0.12,,44691,2291,,0.0230,,25731
HR 7692,,301.3396,56.3414,,6.21,,STAR F4V,0.43,,0.03,,191096,7692,,,,32276
HR 8434,,331.5562,56.3431,,6.39,,STAR A0III,-0.10,,-0.45,,210071,8434,,,,34055
HR 4931,78    UMa,195.1825,56.3664,,4.93,,STAR F2V,0.36,,0.01,,113139,4931,,0.0340,,28601
HR 4295,48Bet UMa,165.4604,56.3825,,2.37,,STAR A1V,-0.02,,0.01,,95418,4295,,0.0530,,27876
HR 8554,,336.7467,56.4333,,6.57,,STAR B5III,-0.10,,-0.47,,212986,8554,,,,34460
HR 3200,,123.4592,56.4522,,5.85,,STAR G9III,1.01,,0.79,,68077,3200,,,,26732
HR 7944,,311.0917,56.4881,,5.78,,STAR M3III,1.67,,1.86,,197939,7944,,,,32849
HR 3077,,119.1117,56.5044,,6.72,,STAR A2IV,,,,,64347,3077,,,,26579
HR 1342,,65.4658,56.5067,R,5.88,,STAR A3V,,,,,27322,1342,,,,24563
HR 168,18Alp Cas,10.1271,56.5372,,2.23,,STAR K0III,1.17,,1.13,,3712,168,,0.0160,,21609
HR 7740,33    Cyg,303.3496,56.5678,,4.30,,STAR A3IV,0.11,,0.08,,192696,7740,,0.0210,,32378
HR 4235,43    UMa,162.7962,56.5822,,5.67,,STAR K2III,1.12,,,,93859,4235,,,,27791
HR 6849,,273.6713,56.5883,,6.37,,STAR F1V,0.34,,0.02,,168092,6849,,,,30836
HR 4566,66    UMa,178.9933,56.5986,,5.84,,STAR K1III,1.10,,,,103605,4566,,,,28191
HR 696,10    Per,36.3167,56.6100,,6.25,,STAR B2I,0.31,,-0.62,,14818,696,,,,23304
HR 8371,13    Cep,328.7217,56.6114,,5.80,,STAR B8I,0.73,,-0.02,,208501,8371,,,,33864
HR 8594,,338.4192,56.6250,,5.71,,STAR G8III,0.96,,,,213930,8594,,,,34574
HR 7827,,306.5979,56.6389,,6.36,,STAR B9V,0.00,,0.00,,195066,7827,,,,32590
HR 8065,,315.5379,56.6697,,5.83,,STAR B8III,-0.07,,-0.34,,200614,8065,D,0.0040,,33078
HR 7634,,299.0792,56.6869,R,6.12,,STAR A4V,,,,,189296,7634,,,,32128
HR 6330,,254.8396,56.6886,,6.03,,STAR,1.16,,,,153956,6330,,,,30190
HR 3698,,140.4304,56.6992,,5.47,,STAR M4III,1.61,,,,80390,3698,,,,27219
HR 918,,46.3850,56.7058,,4.76,,STAR G9III,1.02,,0.86,,18970,918,,0.0050,,23791
HR 4424,,172.4312,56.7375,,6.28,,STAR A4,0.15,,0.11,,99859,4424,,,,28035
HR 3660,17    UMa,138.9579,56.7414,,5.27,,STAR K5III,1.56,,1.87,,79354,3660,,,,27185
HR 1511,4    Cam,72.0013,56.7572,,5.30,,STAR A3,0.25,,0.15,,30121,1511,,0.0130,,24829
HR 4726,71    UMa,186.2633,56.7775,,5.81,,STAR M3III,1.62,,1.83,,108135,4726,,,E,28375
HR 7860,,307.9438,56.7800,,6.14,,STAR,1.43,,,,195964,7860,,,,32667
HR 6237,,251.3242,56.7819,,4.85,S,STAR F2V,0.38,,-0.06,,151613,6237,,0.0460,,30076
HR 8621,,339.6579,56.7958,R,5.21,,STAR M4III,1.58,,1.70,,214665,8621,,-0.0130,,34651
HR 3939,,149.9654,56.8119,,5.48,,STAR K5III,1.46,,1.82,,86378,3939,,,,27464
HR 8472,,332.9533,56.8394,,5.24,W,STAR F8V,0.51,,0.06,,210855,8472,,0.0240,,34151
HR 2402,11    Lyn,99.4104,56.8575,,5.85,,STAR A2V,,,,,46590,2402,,,,25842
HR 7295,53    Dra,287.9188,56.8592,,5.12,,STAR G8III,1.01,,0.84,,180006,7295,,0.0120,,31468
HR 6688,32Xi  Dra,268.3821,56.8728,,3.75,W,STAR K2III,1.18,,1.21,,163588,6688,,0.0350,,30631
HR 8029,,314.0708,56.8875,,6.23,,STAR B2IV,-0.18,,-0.70,,199661,8029,,,,33005
HR 1992,29    Cam,87.6417,56.9189,,6.54,,STAR A4IV,,,,,38618,1992,,,,25403
HR 1094,,54.5821,56.9328,,6.30,,STAR B9,-0.13,,-0.35,,22316,1094,,,,24133
HR 316,,16.7508,56.9350,,6.43,,STAR K2III,1.18,,1.26,,6497,316,,,E,22015
HR 8752,,345.0212,56.9453,,5.00,,STAR G4,1.42,,1.16,,217476,8752,,0.0020,,35039
HR 4660,69Del UMa,183.8567,57.0325,,3.31,W,STAR A3V,0.08,,0.07,,106591,4660,,0.0610,,28315
HR 7526,,295.9150,57.0425,,6.27,,STAR K2III,0.88,,,,186815,7526,,,,31933
HR 8494,23Eps Cep,333.7583,57.0436,,4.19,W,STAR F0IV,0.28,,0.04,,211336,8494,,0.0410,,34227
HR 6978,45    Dra,278.1437,57.0456,,4.77,,STAR F7I,0.61,,0.44,,171635,6978,,0.0130,,31039
HR 4641,68    UMa,182.9371,57.0544,R,6.43,,STAR,,,,,106002,4641,,,,28291
HR 654,,34.2154,57.0553,,6.48,W,STAR B1I,0.28,,-0.66,,13854,654,,,,23115
HR 5451,,218.5663,57.0653,,6.48,,STAR F6V,0.49,,-0.03,,128332,5451,,0.0250,,29202
HR 4388,,170.4554,57.0750,,6.43,,STAR A7V,0.15,,0.09,,98673,4388,,,,27999
HR 2929,23    Lyn,115.2063,57.0828,,6.06,,STAR K5III,1.46,,1.65,,61106,2929,,,,26459
HR 4141,37    UMa,158.7904,57.0828,,5.16,,STAR F1V,0.34,,-0.02,,91480,4141,,0.0360,,27695
HR 825,,42.3783,57.0842,,6.25,S,STAR A5I,0.89,,0.50,,17378,825,,,,23637
HR 502,,26.1921,57.0892,,6.25,,STAR A2V,0.04,,0.06,,10587,502,,,,22578
HR 8761,,345.3779,57.1056,,6.20,,STAR K1II,1.50,,1.53,,217673,8761,,,,35062
HR 7940,,310.8062,57.1142,,6.32,,STAR B2III,0.33,,-0.48,,197770,7940,,,,32832
HR 1161,,57.3317,57.1181,,6.46,W,STAR A0V,0.06,,0.02,,23594,1161,,,,24244
HR 3870,,146.6321,57.1281,,5.20,,STAR M3III,1.62,,1.80,,84335,3870,,,,27377
HR 964,,48.9500,57.1408,,5.79,,STAR A0I,0.73,,0.09,,20041,964,,,,23903
HR 28,,2.6237,57.1656,,6.74,,STAR B7IV,-0.08,,-0.41,,584,28,,,,21162
HR 8832,,348.3208,57.1683,,5.56,W,STAR K3V,1.01,,0.89,,219134,8832,,0.1520,,35236
HR 2477,13    Lyn,101.7063,57.1692,,5.35,,STAR K0III,0.96,,0.73,,48432,2477,,,,25947
HR 4187,39    UMa,160.9304,57.1992,,5.80,,STAR A0V,-0.02,,-0.09,,92728,4187,,,,27748
HR 5153,,205.0887,57.2075,,6.29,,STAR A2V,0.10,,0.02,,119213,5153,,,,28838
HR 8506,,334.1104,57.2203,,5.88,,STAR G8III,0.93,,,,211554,8506,,,,34256
HR 1828,18    Cam,83.1408,57.2211,,6.48,,STAR F8V,0.57,,0.12,,36066,1828,,0.0120,,25241
HR 8985,,355.4771,57.2600,R,6.24,,STAR G8III,,,,,222618,8985,,,,35682
HR 3119,,120.6492,57.2736,,6.49,,STAR F8V,0.62,,0.16,,65626,3119,,0.0380,,26634
HR 8535,,335.7508,57.2844,,6.16,,STAR B8III,-0.13,,-0.55,,212454,8535,,,,34383
HR 6605,,265.1508,57.3103,,6.77,,STAR K0,0.92,,0.58,,161162,6605,,,,30515
HR 4202,41    UMa,161.5938,57.3658,,6.34,,STAR M1III,1.56,,1.90,,93132,4202,,,,27760
HR 9052,,358.8904,57.4122,,6.00,,STAR B0II,0.21,,-0.72,,224151,9052,,0.0290,,35899
HR 3922,,149.3067,57.4183,,5.93,,STAR G5III,0.89,,,,85945,3922,,0.0070,,27438
HR 9010,,356.7579,57.4514,,5.51,,STAR K3II,1.65,,1.81,,223173,9010,,,,35761
HR 1296,,63.7575,57.4603,,6.08,,STAR A4III,0.61,,0.50,,26553,1296,,,,24495
HR 7153,,283.4429,57.4869,,6.22,,STAR,1.23,,,,175823,7153,,,,31252
HR 8281,,324.7400,57.4892,,5.62,,STAR O6V,0.21,,-0.74,,206267,8281,,,,33626
HR 9045,7Rho Cas,358.5958,57.4994,,4.54,,STAR G2,1.22,,1.12,,224014,9045,,0.0230,,35879
HR 662,7    Per,34.5187,57.5167,,5.98,,STAR G7III,1.05,,0.79,,13994,662,,,,23149
HR 7608,23    Cyg,298.3225,57.5236,,5.14,,STAR B5V,-0.13,,-0.55,,188665,7608,,,,32085
HR 499,,26.0746,57.5364,,6.21,,STAR A3V,0.10,,0.03,,10543,499,,-0.0030,,22566
HR 1751,16    Cam,80.8658,57.5444,,5.28,W,STAR A0V,-0.03,,-0.07,,34787,1751,,0.0230,,25161
HR 6560,,263.3821,57.5589,,6.17,S,STAR G5III,0.59,,0.37,,159870,6560,,,,30464
HR 2561,,104.3050,57.5633,,6.05,,STAR K3III,1.49,,1.75,,50551,2561,,,,26050
HR 7955,,311.3379,57.5797,,4.51,W,STAR F8IV,0.54,,0.10,,198084,7955,,0.0460,,32862
HR 1382,,66.7538,57.5853,,6.32,,STAR A0III,0.04,,0.02,,27855,1382,,,,24615
HR 7356,,290.0671,57.6453,,5.91,,STAR M1III,1.58,,2.01,,182190,7356,,,,31587
HR 627,5    Per,32.8708,57.6458,,6.36,,STAR B5I,0.33,,-0.43,,13267,627,,,,23011
HR 8389,,329.8458,57.6583,,6.59,,STAR A0III,0.03,,-0.01,,209124,8389,,,,33943
HR 7309,54    Dra,288.4800,57.7050,,4.99,,STAR K2III,1.16,,1.17,,180610,7309,,0.0250,,31497
HR 3254,30    Lyn,125.1087,57.7433,,5.89,,STAR F4V,0.39,,-0.10,,69548,3254,,,,26784
HR 7365,,290.3558,57.7669,R,6.43,,STAR K2,,,,,182440,7365,,,,31604
HR 7175,48    Dra,284.1875,57.8150,,5.66,,STAR K1III,1.15,,1.19,,176408,7175,,0.0180,,31284
HR 219,24Eta Cas,12.2750,57.8158,,3.44,,STAR F9V,0.57,,0.01,,4614,219,,0.1760,,21732
HR 1313,,64.2842,57.8606,,5.71,,STAR K1III,1.09,,,,26755,1313,,,,24514
HR 4701,70    UMa,185.2117,57.8639,,5.55,,STAR K5III,1.43,,1.71,,107465,4701,,,,28346
HR 1071,,53.4217,57.8689,,6.37,,STAR F7V,0.51,,0.03,,21794,1071,,,,24098
HR 6540,,262.6825,57.8764,R,6.40,,STAR K2III,,,,,159330,6540,,,,30434
HR 661,8    Per,34.4996,57.8997,,5.75,,STAR K3III,1.17,,,,13982,661,,,,23143
HR 5841,,234.7896,57.9244,,6.45,,STAR K1III,1.09,,1.04,,140117,5841,,,,29609
HR 6036,,242.2621,57.9378,R,6.33,,STAR A1V,,,,,145674,6036,,,,29823
HR 4493,,175.1142,57.9706,,6.37,,STAR B9,-0.12,,-0.34,,101391,4493,,,,28093
HR 1192,,58.4304,57.9750,,5.80,,STAR A5,0.18,,0.11,,24141,1192,,,,24276
HR 461,,24.5317,57.9775,,5.56,,STAR G5II,1.38,,1.43,,9900,461,,,,22456
HR 260,,14.0538,57.9967,,6.21,,STAR K3III,1.37,,,,5343,260,,,,21846
HR 8406,14    Cep,330.5192,58.0006,,5.56,,STAR O9V,0.06,,-0.86,,209481,8406,,-0.0090,,33990
HR 7522,,295.8108,58.0164,,6.22,,STAR G0V,0.56,,0.06,,186760,7522,,0.0450,,31923
HR 7401,,291.4446,58.0272,,6.60,,STAR B8IV,-0.15,,-0.56,,183339,7401,,,,31652
HR 1719,15    Cam,79.8658,58.1172,,6.13,,STAR B5V,-0.03,,-0.47,,34233,1719,,,,25125
HR 391,,20.8400,58.1431,,6.45,,STAR F4V,,,,,8272,391,D,0.0050,,22230
HR 2331,6    Lyn,97.6967,58.1628,,5.88,W,STAR K0III,0.94,,0.66,,45410,2331,,0.0250,,25771
HR 8465,21Zet Cep,332.7137,58.2011,,3.35,,STAR K1I,1.57,,1.71,,210745,8465,,0.0170,,34137
HR 7184,,284.3683,58.2253,,6.46,,STAR A2IV,0.08,,0.05,,176560,7184,,-0.0080,,31292
HR 382,34Phi Cas,20.0204,58.2317,,4.98,,STAR F0I,0.68,,0.49,,7927,382,,-0.0030,,22191
HR 3175,,122.5158,58.2481,,5.93,,STAR,1.39,,1.50,,67224,3175,,,,26701
HR 7626,,298.8421,58.2503,,6.09,,STAR G9III,1.02,,,,189127,7626,,,,32116
HR 326,,17.1388,58.2636,,5.79,,STAR B8V,-0.01,,-0.27,,6676,326,,,,22032
HR 839,,42.9396,58.3147,,6.45,W,STAR A1,0.10,,0.08,,17581,839,,,,23662
HR 439,,23.3575,58.3275,,5.70,S,STAR K0I,1.52,,1.15,,9352,439,,,,22389
HR 4760,74    UMa,187.4888,58.4058,,5.35,,STAR A5,0.20,,0.14,,108844,4760,,0.0390,,28405
HR 8571,27Del Cep,337.2929,58.4153,,3.75,,STAR F5I,0.60,,,,213306,8571,,0.0110,,34508
HR 2293,5    Lyn,96.7038,58.4172,,5.21,,STAR K4III,1.53,,1.88,,44708,2293,,0.0050,,25733
HR 2560,15    Lyn,104.3187,58.4225,,4.35,,STAR G5III,0.85,,0.52,,50522,2560,,0.0140,,26051
HR 618,,32.1688,58.4236,,5.67,,STAR A1I,0.61,,-0.02,,12953,618,,,,22959
HR 5,,1.5667,58.4367,,5.96,,STAR G5V,0.67,,0.20,,123,5,,0.0470,,21085
HR 8677,,341.8467,58.4828,,6.36,,STAR B9IV,-0.04,,-0.03,,215907,8677,,,,34824
HR 5216,,207.6154,58.5394,,6.46,,STAR A3V,0.09,,0.08,,120874,5216,,,,28901
HR 8926,,352.5083,58.5489,,4.91,,STAR B3IV,-0.12,,-0.64,,221253,8926,D,0.0060,,35478
HR 641,,33.4229,58.5611,,6.44,,STAR A3I,0.60,,0.23,,13476,641,,,,23044
HR 8778,,345.8400,58.5647,,6.43,,STAR G8IV,0.90,,0.52,,217944,8778,,,,35103
HR 5986,13The Dra,240.4721,58.5653,,4.01,,STAR F8IV,0.52,,0.10,,144284,5986,,0.0510,,29765
HR 8153,,319.3283,58.6117,,6.42,,STAR B2III,0.20,,-0.50,,203025,8153,,,,33288
HR 8164,,319.8158,58.6236,,5.66,,STAR M1I,1.38,,0.07,,203338,8164,,0.0040,,33318
HR 482,,25.5742,58.6278,,6.37,,STAR B8III,-0.02,,-0.45,,10293,482,,,,22520
HR 6514,,261.5204,58.6519,,6.51,,STAR A4V,0.14,,0.09,,158485,6514,,,,30387
HR 9008,5Tau Cas,356.7646,58.6519,,4.87,,STAR K1III,1.11,,1.05,,223165,9008,,0.0140,,35763
HR 2946,24    Lyn,115.7517,58.7103,,4.99,,STAR A3IV,0.08,,0.08,,61497,2946,,0.0180,,26474
HR 181,,10.6296,58.7533,,6.17,,STAR B9III,-0.01,,-0.11,,3924,181,,,,21642
HR 1068,,53.3838,58.7650,,6.40,,STAR A4III,0.14,,0.15,,21769,1068,,0.0090,,24093
HR 4762,75    UMa,187.5179,58.7675,,6.08,,STAR G8III,0.98,,,,108861,4762,,,,28408
HR 8316,Mu  Cep,325.8767,58.7800,,4.08,,STAR M2I,2.35,,2.42,,206936,8316,,0.0030,,33693
HR 6923,39    Dra,275.9771,58.8006,,4.98,,STAR A1V,0.08,,0.04,,170073,6923,,0.0350,,30949
HR 8442,,331.7900,58.8408,,6.32,,STAR G6III,0.88,,0.63,,210220,8442,,0.0170,,34072
HR 7633,,298.9808,58.8461,,4.96,,STAR K5II,1.59,,1.93,,189276,7633,,0.0040,,32122
HR 1040,,52.4787,58.8786,,4.54,,STAR A0I,0.56,,-0.11,,21389,1040,,,,24061
HR 5949,,238.9571,58.9117,,6.31,,STAR A0V,-0.02,,-0.18,,143187,5949,,,,29723
HR 2152,37    Cam,92.4962,58.9358,,5.36,,STAR G8III,1.09,,0.92,,41597,2152,,0.0110,,25597
HR 9020,,357.3000,58.9631,,6.33,,STAR F2IV,0.40,,-0.01,,223421,9020,,,,35798
HR 2006,30    Cam,88.0725,58.9642,,6.14,,STAR A0V,-0.04,,-0.13,,38831,2006,,,,25419
HR 5744,12Iot Dra,231.2325,58.9661,,3.29,W,STAR K2III,1.16,,1.22,,137759,5744,,0.0400,,29520
HR 1622,11    Cam,76.5354,58.9725,,5.08,W,STAR B2V,-0.08,,-0.69,,32343,1622,,,,25001
HR 253,26Ups1Cas,13.7504,58.9728,,4.83,,STAR K2III,1.21,,1.26,,5234,253,,0.0060,,21832
HR 2238,2    Lyn,94.9058,59.0108,,4.48,,STAR A2V,0.01,,0.03,,43378,2238,,0.0350,,25665
HR 1623,12    Cam,76.5508,59.0211,,6.08,W,STAR K0III,1.12,,0.85,?,32357,1623,,,,25003
HR 3888,29Ups UMa,147.7475,59.0386,,3.80,,STAR F2IV,0.29,,0.10,,84999,3888,,0.0410,,27401
HR 3106,,120.3363,59.0475,,5.77,,STAR,0.39,,-0.04,,65301,3106,,,,26618
HR 3506,,133.2746,59.0561,R,6.25,,STAR F5IV,,,,,75487,3506,,,,27026
HR 8476,,332.9871,59.0847,,6.30,,STAR K0III,1.13,,1.07,,210905,8476,,,,34158
HR 21,11Bet Cas,2.2946,59.1497,,2.27,,STAR F2III,0.34,,0.11,,432,21,,0.0720,,21133
HR 1242,,61.1133,59.1556,,5.06,,STAR F0II,0.50,,0.49,,25291,1242,,,,24384
HR 265,28Ups2Cas,14.1658,59.1811,,4.63,,STAR G8III,0.96,,0.69,,5395,265,,0.0510,,21855
HR 442,39Chi Cas,23.4829,59.2319,,4.71,,STAR G9III,1.00,,0.76,,9408,442,,0.0210,,22397
HR 8312,,325.6892,59.2711,,6.08,,STAR K1III,1.34,,,,206842,8312,,,,33683
HR 5552,,222.8600,59.2939,,5.46,,STAR K4III,1.36,,1.60,,131507,5552,,,,29315
HR 4236,42    UMa,162.8488,59.3200,,5.58,,STAR K2III,1.14,,1.15,,93875,4236,,,,27793
HR 8822,2    Cas,347.4337,59.3331,,5.70,,STAR A5III,0.33,,0.32,,218753,8822,,,,35186
HR 5302,,212.1917,59.3378,,6.46,,STAR K0III,1.02,,0.82,,123977,5302,,,,29019
HR 3608,,136.6796,59.3444,,6.45,,STAR A2V,0.04,,0.13,,77692,3608,,,,27121
HR 1043,,52.5471,59.3661,,6.13,,STAR A2V,0.08,,,,21427,1043,D,0.0040,,24062
HR 2257,4    Lyn,95.5150,59.3722,R,5.94,,STAR A3V,,,,,43812,2257,D,0.0050,,25678
HR 7125,47Omi Dra,282.8004,59.3883,,4.66,,STAR G9III,1.19,,1.04,,175306,7125,,0.0060,,31218
HR 2121,,91.2846,59.3931,,6.34,,STAR K1III,1.10,,1.10,,40827,2121,,,,25551
HR 1688,,78.7971,59.4056,,6.15,,STAR K2III,1.18,,1.23,,33618,1688,,,,25088
HR 5995,,240.7888,59.4108,,6.19,,STAR M1III,1.58,,1.91,,144542,5995,,,E,29777
HR 8469,22Lam Cep,332.8779,59.4144,,5.04,,STAR O6I,0.25,,-0.74,,210839,8469,,0.0060,,34149
HR 8797,1    Cas,346.6537,59.4197,,4.85,,STAR B0IV,-0.03,,-0.87,,218376,8797,,,,35147
HR 8049,,314.8558,59.4386,,5.51,,STAR,1.40,,1.64,,200205,8049,,0.0020,,33048
HR 2470,12    Lyn,101.5587,59.4417,,4.87,,STAR A3V,0.08,,0.08,,48250,2470,D,0.0110,,25939
HR 2520,14    Lyn,103.2712,59.4486,,5.33,,STAR G4III,0.65,,,,49618,2520,,0.0050,,26012
HR 4800,,189.0971,59.4869,H,5.50,,STAR M4III,,,,,109729,4800,,,,28444
HR 1486,,70.8254,59.5208,R,6.50,,STAR A7IV,,,,,29606,1486,D,0.0050,,24777
HR 6949,,276.9262,59.5492,,6.43,,STAR K0IV,,,,,170811,6949,,,,30990
HR 9079,,0.1287,59.5597,,6.19,,STAR G9III,1.01,,0.80,,224784,9079,,,,35983
HR 3235,29    Lyn,124.4600,59.5711,,5.64,,STAR A7IV,0.16,,0.13,,68930,3235,,,,26756
HR 207,,11.6767,59.5744,,6.39,,STAR G0I,1.09,,0.77,,4362,207,,,,21693
HR 7818,,306.2712,59.6000,,6.44,,STAR A2IV,0.09,,0.12,,194882,7818,D,0.0050,,32562
HR 1352,,65.7412,59.6164,,6.19,,STAR A4V,,,,,27402,1352,,,,24577
HR 2715,18    Lyn,108.9788,59.6375,,5.20,,STAR K2III,1.07,,1.01,,55280,2715,,0.0420,,26248
HR 7611,,298.3975,59.7089,,6.06,W,STAR A3V,0.02,,0.03,,188793,7611,,,,32093
HR 4936,,195.6683,59.7161,,6.53,,STAR A3V,0.05,,0.06,,113436,4936,,,,28613
HR 8803,,346.7933,59.7275,,6.40,,STAR B2V,-0.01,,-0.63,,218440,8803,,,,35152
HR 8224,,321.8554,59.7500,,6.10,,STAR M3III,1.75,,1.72,,204599,8224,,,,33443
HR 6086,,244.3138,59.7550,,5.40,,STAR M4III,1.63,,1.67,,147232,6086,,,,29874
HR 2642,,106.5054,59.8019,R,6.44,,STAR G8III,,,,,52708,2642,,,,26141
HR 8745,,344.7875,59.8147,,6.43,,STAR B9III,0.03,,-0.24,,217348,8745,,,,35026
HR 2027,31    Cam,88.7408,59.8883,,5.20,,STAR A2V,0.02,,0.03,,39220,2027,,0.0090,,25447
HR 2772,47    Cam,110.5717,59.9019,,6.35,,STAR A8,,,,,56820,2772,D,0.0150,,26298
HR 1270,,62.3650,59.9081,,6.28,,STAR G8II,1.14,,0.92,,25877,1270,,,,24436
HR 3401,,129.7925,59.9394,,6.48,,STAR A2V,,,,,73029,3401,,,,14612
HR 1035,,52.2671,59.9403,,4.21,,STAR B9I,0.41,,-0.24,,21291,1035,,,,24054
HR 5085,,202.1129,59.9458,,5.40,W,STAR A1V,-0.01,,-0.02,,117376,5085,,0.0250,,16080
HR 1112,,55.6779,59.9694,,5.76,,STAR K3II,1.71,,1.82,,22764,1112,,,,24169
HR 113,,7.5829,59.9772,,5.94,,STAR B9III,0.01,,-0.36,,2626,113,D,0.0020,,21457
HR 9019,,357.2246,59.9789,,6.34,,STAR A0V,-0.01,,-0.05,,223386,9019,,,,35794
HR 4008,,153.7821,59.9856,,6.25,,STAR M0III,1.60,,,,88651,4008,,,,15129
HR 8119,,317.9508,59.9864,,5.64,,STAR B0II,0.11,,-0.77,,202214,8119,D,0.0020,,33210
HR 2201,40    Cam,93.9192,59.9992,,5.35,W,STAR K3III,1.34,,,,42633,2201,,,,13772
HR 9063,,359.3896,60.0236,,6.47,,STAR B9III,0.01,,-0.10,,224404,9063,,,,35922
HR 1077,,53.7533,60.0411,,6.46,,STAR F3V,0.39,,-0.07,,21903,1077,D,0.0210,,24111
HR 6511,,261.4221,60.0483,,5.65,,STAR A1V,0.03,,0.01,,158460,6511,,,,17472
HR 8707,,343.2658,60.1011,,6.01,,STAR,1.75,,,,216595,8707,,,,34921
HR 8894,,350.6354,60.1336,,5.56,,STAR K3II,1.68,,1.82,,220369,8894,,,,35361
